informe,publicado_utc,fecha_datos,filas,resultado,detalle
https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x08x05-b.pdf,2024-08-06T16:02:50,2024-08-05,79,guardado,
https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x08x04-a.pdf,2024-08-06T16:02:51,2024-08-04,78,guardado,
https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x08x03-b.pdf,2024-08-06T16:02:51,2024-08-03,68,guardado,
https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x08x02-a.pdf,2024-08-06T16:02:52,2024-08-02,68,guardado,
https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x08x01b.pdf,2024-08-06T16:02:52,2024-08-01,77,guardado,
https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x31-a.pdf,2024-08-06T16:02:53,2024-07-31,80,guardado,
https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x30-b.pdf,2024-08-06T16:02:53,2024-07-30,82,guardado,
https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x29b.pdf,2024-08-06T16:02:54,2024-07-28,78,guardado,
https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x27-a.pdf,2024-08-06T16:02:55,2024-07-27,69,guardado,
https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x26-b.pdf,2024-08-06T16:02:56,2024-07-26,59,guardado,
https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x25-a.pdf,2024-08-06T16:02:56,2024-07-25,77,guardado,
https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x24-b.pdf,2024-08-06T16:02:57,2024-07-24,74,guardado,
https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x23-a.pdf,2024-08-06T16:02:57,2024-07-23,79,guardado,
https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf,2024-08-06T16:02:58,2024-07-22,58,guardado,
https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x08x03-b-1.pdf,2024-08-06T16:06:04,2024-08-03,68,guardado,
https://indomet.gob.do/wp-content/uploads/2025/03/temperaturas-extremas-y-precipitaciones-2025x03x11-a.pdf,2025-03-12T14:51:57,2025-03-11,79,guardado,
https://indomet.gob.do/wp-content/uploads/2025/03/temperaturas-extremas-y-precipitaciones-2025x03x12-a.pdf,2025-03-13T14:19:40,2025-03-12,83,guardado,
https://indomet.gob.do/wp-content/uploads/2025/03/temperaturas-extremas-y-precipitaciones-2025x03x13-a.pdf,2025-03-14T14:59:04,2025-03-13,78,guardado,
https://indomet.gob.do/wp-content/uploads/2025/03/temperaturas-extremas-y-precipitaciones-2025x03x14-a.pdf,2025-03-15T16:00:41,2025-03-14,71,guardado,
https://indomet.gob.do/wp-content/uploads/2025/03/temperaturas-extremas-y-precipitaciones-2025x03x15-a.pdf,2025-03-16T15:47:54,2025-03-15,73,guardado,
https://indomet.gob.do/wp-content/uploads/2025/03/temperaturas-extremas-y-precipitaciones-2025x03x25-a.pdf,2025-03-26T15:27:20,2025-03-25,77,guardado,
https://indomet.gob.do/wp-content/uploads/2025/03/temperaturas-extremas-y-precipitaciones-2025x03x26-a.pdf,2025-03-27T14:27:57,2025-03-26,73,guardado,
https://indomet.gob.do/wp-content/uploads/2025/03/temperaturas-extremas-y-precipitaciones-2025x03x27-a.pdf,2025-03-28T15:13:20,2025-03-27,83,guardado,
https://indomet.gob.do/wp-content/uploads/2025/03/temperaturas-extremas-y-precipitaciones-2025x03x28-a.pdf,2025-03-29T14:20:20,2025-03-28,73,guardado,
https://indomet.gob.do/wp-content/uploads/2025/03/temperaturas-extremas-y-precipitaciones-2025x03x28-b.pdf,2025-03-29T16:27:18,2025-03-28,76,guardado,
https://indomet.gob.do/wp-content/uploads/2025/03/temperaturas-extremas-y-precipitaciones-2025x03x30-a.pdf,2025-03-31T14:37:55,2025-03-30,79,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x03x29-a.pdf,2025-04-01T13:39:43,2025-03-29,70,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x03x31-a.pdf,2025-04-01T14:33:56,2025-03-31,81,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x01-a.pdf,2025-04-03T18:33:51,2025-04-01,79,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x02-a.pdf,2025-04-03T18:34:27,2025-04-02,80,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x03-a.pdf,2025-04-05T15:04:27,2025-04-03,80,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x04-a.pdf,2025-04-05T15:04:42,2025-04-04,73,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x05-a.pdf,2025-04-06T14:09:57,2025-04-05,71,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x06-a.pdf,2025-04-07T15:43:38,2025-04-06,81,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x07-a.pdf,2025-04-08T19:08:52,2025-04-07,74,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x08-a.pdf,2025-04-09T16:12:47,2025-04-08,72,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x09-a.pdf,2025-04-10T14:25:21,2025-04-09,74,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x09-a-1.pdf,2025-04-10T14:27:36,2025-04-09,74,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x11-a.pdf,2025-04-12T14:10:44,2025-04-11,75,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x10-a.pdf,2025-04-12T14:12:45,2025-04-10,81,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x12-a.pdf,2025-04-13T15:13:38,2025-04-12,72,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x13-a.pdf,2025-04-14T14:20:04,2025-04-13,84,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x14-a.pdf,2025-04-15T14:51:36,2025-04-14,78,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x15-a.pdf,2025-04-16T14:22:18,2025-04-15,78,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x16-a.pdf,2025-04-17T15:08:34,2025-04-16,73,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x17-a.pdf,2025-04-18T14:24:25,2025-04-17,68,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x18-a.pdf,2025-04-19T13:59:53,2025-04-18,67,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x19-a.pdf,2025-04-20T14:39:59,2025-04-19,70,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x19-a-1.pdf,2025-04-20T14:47:49,2025-04-19,70,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x19-a-2.pdf,2025-04-20T14:54:48,2025-04-19,70,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x20-a.pdf,2025-04-21T14:29:35,2025-04-20,79,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x21-a.pdf,2025-04-22T15:03:49,2025-04-21,75,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x22-a.pdf,2025-04-23T14:42:42,2025-04-22,74,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x23-a.pdf,2025-04-24T14:12:44,2025-04-23,75,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x23-a-1.pdf,2025-04-24T14:13:20,2025-04-23,75,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x24-a.pdf,2025-04-25T14:42:47,2025-04-24,75,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x25-a.pdf,2025-04-26T14:23:18,2025-04-25,69,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x26-aB.pdf,2025-04-27T15:19:33,2025-04-26,71,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x27b.pdf,2025-04-28T14:28:37,2025-04-27,77,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x28-a.pdf,2025-04-29T14:21:11,2025-04-28,74,guardado,
https://indomet.gob.do/wp-content/uploads/2025/04/temperaturas-extremas-y-precipitaciones-2025x04x29-a.pdf,2025-04-30T14:10:57,2025-04-29,76,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x04x30-ab.pdf,2025-05-01T15:27:29,2025-04-30,78,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x01-a.pdf,2025-05-02T14:15:52,2025-05-01,82,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x01-b.pdf,2025-05-02T15:50:04,2025-05-01,82,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x02-a.pdf,2025-05-03T14:38:41,2025-05-02,71,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x04x29-a.pdf,2025-05-03T19:44:43,,0,ignorado,el documento no trae la tabla diaria
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x03-a.pdf,2025-05-04T14:14:22,2025-05-03,72,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x04-a.pdf,2025-05-05T14:38:37,2025-05-04,72,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x05-a.pdf,2025-05-06T15:18:52,2025-05-05,77,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x06-a.pdf,2025-05-07T14:33:24,2025-05-06,76,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x07-a.pdf,2025-05-08T14:08:35,2025-05-07,74,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x08-a.pdf,2025-05-09T15:16:39,2025-05-08,72,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x09-a.pdf,2025-05-10T14:40:14,2025-05-09,72,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x10-a.pdf,2025-05-11T14:42:16,2025-05-10,68,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x11-a.pdf,2025-05-12T14:26:45,2025-05-11,80,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x12-a.pdf,2025-05-13T15:12:48,2025-05-12,75,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x13-a.pdf,2025-05-14T15:21:33,2025-05-13,77,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x14-a.pdf,2025-05-15T14:53:46,2025-05-14,74,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x15-a.pdf,2025-05-16T15:25:53,2025-05-15,78,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x16-a-1.pdf,2025-05-17T15:59:12,2025-05-16,73,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x17-a.pdf,2025-05-18T14:18:30,2025-05-17,71,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x18-a.pdf,2025-05-19T15:16:51,2025-05-18,81,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x19-a.pdf,2025-05-20T14:25:52,2025-05-19,84,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x19-a-1.pdf,2025-05-20T14:26:20,2025-05-19,84,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x20-a.pdf,2025-05-21T14:53:43,2025-05-20,80,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x21-a.pdf,2025-05-22T14:35:33,2025-05-21,81,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x22-a.pdf,2025-05-23T18:58:36,2025-05-22,73,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x23-a.pdf,2025-05-24T14:20:31,2025-05-23,74,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x24-a.pdf,2025-05-25T15:07:50,2025-05-24,73,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x25-a.pdf,2025-05-26T15:23:00,2025-05-25,79,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x27-a.pdf,2025-05-28T14:31:56,2025-05-27,81,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x26-a.pdf,2025-05-28T14:32:19,2025-05-26,76,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x28-.pdf,2025-05-29T17:09:29,2025-05-28,77,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x29-a.pdf,2025-05-30T14:34:51,2025-05-29,77,guardado,
https://indomet.gob.do/wp-content/uploads/2025/05/temperaturas-extremas-y-precipitaciones-2025x05x30-a.pdf,2025-05-31T15:18:27,2025-05-30,74,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x05x30-a.pdf,2025-06-01T14:53:26,2025-05-30,74,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x05x31-a.pdf,2025-06-01T14:54:01,2025-05-31,72,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x06x01-a.pdf,2025-06-03T15:28:34,2025-06-01,76,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x06x02-a.pdf,2025-06-03T15:29:27,2025-06-02,81,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x06x03-a.pdf,2025-06-04T17:57:27,2025-06-03,79,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x06x04-a.pdf,2025-06-05T14:06:56,2025-06-04,80,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x06x04-a-1.pdf,2025-06-05T14:07:17,2025-06-04,80,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x06x05-aB.pdf,2025-06-07T15:04:29,2025-06-05,76,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x06x06-a.pdf,2025-06-07T15:04:43,2025-06-06,74,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x06x07-a.pdf,2025-06-09T14:56:53,2025-06-07,71,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x06x08-a.pdf,2025-06-09T14:57:05,2025-06-08,80,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x06x09-a.pdf,2025-06-10T14:44:19,2025-06-09,77,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x06x10-a.pdf,2025-06-11T15:11:23,2025-06-10,82,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x06x11-a.pdf,2025-06-13T14:54:58,2025-06-11,82,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x06x12-a.pdf,2025-06-13T14:55:14,2025-06-12,76,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x06x13-a.pdf,2025-06-14T16:16:49,2025-06-13,70,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x06x14-a.pdf,2025-06-15T14:54:46,2025-06-14,73,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x06x15-a.pdf,2025-06-17T14:45:24,2025-06-15,79,guardado,
https://indomet.gob.do/wp-content/uploads/2025/06/temperaturas-extremas-y-precipitaciones-2025x06x16-a.pdf,2025-06-17T14:45:51,2025-06-16,83,guardado,
