fecha,num,estacion,provincia,localidad,tipo,tmax,tmin,lluvia,informe
2024-07-22,001,JUMA BEJUCAL,MONSEÑOR NOUEL,IDIAF,EMCV,32.0,23.6,59.6,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,002,SÁNCHEZ,SAMANÁ,MINISTERIO DE AGRICULTURA,EMCO,31.5,23.8,45.2,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,003,ARPT. ARROYO BARRIL,SAMANÁ,ONAMET,EMCO,31.9,24.4,25.5,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,004,JARABACOA,LA VEGA,INDRHI / MARENA,EMCO,29.8,17.4,22.8,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,005,CENTRO DE LOS HEROES (EMA),DISTRITO NACIONAL,MINISTERIO DE ENERGIA Y MINA,EMAP,33.1,26.7,21.4,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,006,SANTO DOMINGO ESTE,SANTO DOMINGO,ONAMET,EMCO,32.5,26.0,19.4,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,007,GASPAR HERNÁNDEZ,ESPAILLAT,PROPIEDAD DEL EMPLEADO,EMCO,,,18.7,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,008,SAMANÁ,SAMANÁ,COMANDANCIA DE PUERTO DE SAMANÁ,EMCO,32.7,24.4,17.9,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,009,PALMAR ABAJO (EMA),SANTIAGO,MINISTERIO DE AGRICULTURA,EMAP,31.8,24.4,17.4,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,010,ARPT. LA ISABELA,SANTO DOMINGO,ONAMET,EMCO,34.0,24.0,17.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,011,ARPT. DE LAS AMÉRICAS,SANTO DOMINGO,ONAMET,EMCO,33.0,24.4,16.3,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,012,PARQUE MIRADOR SUR,DISTRITO NACIONAL,AYUNTAMIENTO,EMCV,34.0,26.5,15.4,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,013,JARDÍN BOTÁNICO NACIONAL,DISTRITO NACIONAL,JARDÍN BOTÁNICO NACIONAL,EMCV,33.2,22.3,15.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,014,PRESA DE TAVERAS (EMA),LA VEGA,PROGRAMA MUNDIAL DE ALIMENTO,EMAP,30.6,23.0,12.6,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,015,SABANA DE LA MAR,HATO MAYOR,ONAMET,EMCO,31.5,23.5,12.1,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,016,ARPT. EL CATEY,SAMANÁ,ONAMET,EMCO,31.4,23.5,10.6,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,017,VALLE NUEVO (EMA),LA VEGA,MARENA,EMAO,18.7,12.2,10.6,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,018,VILLA GONZALES,SANTIAGO,MINISTERIO DE AGRICULTURA,EMCO,,,10.4,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,019,VILLA RIVA,DUARTE,HOSP. MPAL. ALICIA DE LEGENDRE,EMCO,31.5,24.0,9.7,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,020,POLO,BARAHONA,INDOCAFE,EMCO,30.2,21.0,7.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,021,SAN CRISTÓBAL,SAN CRISTÓBAL,INSTITUTO POLITÉCNICO LOYOLA,EMCO,31.2,27.0,6.7,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,022,LA VEGA,LA VEGA,IATESA,EMCO,32.0,24.0,5.8,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,023,VILLA ALTAGRACIA,SAN CRISTÓBAL,ESCUELA JAVIER ANGULO GURIDI,EMCO,32.5,24.3,5.3,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,024,CABRERA,MARÍA TRINIDAD SÁNCHEZ,ESCUELA ARÍSTIDES FIALLO CABRAL,EMCO,33.2,27.0,4.7,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,025,CONSTANZA,LA VEGA,MINISTERIO DE AGRICULTURA,EMCO,26.8,17.5,4.6,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,026,RÍO SAN JUAN,MARÍA TRINIDAD SÁNCHEZ,HOSP. MPAL. DR. DESIDERIO ACOSTA,EMCV,32.9,24.7,3.8,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,027,EL SEIBO,EL SEIBO,MINISTERIO DE AGRICULTURA,EMCV,,,2.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,028,ALTAMIRA,PUERTO PLATA,HOSP. MPAL. DE ALTAMIRA,EMCO,31.9,21.6,1.8,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,029,SAN RAFAEL DEL YUMA,LA ALTAGRACIA,MINISTERIO DE AGRICULTURA,EMCO,33.0,24.6,0.8,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,030,ANAMUYA (EMA),LA ALTAGRACIA,MINISTERIO DE AGRICULTURA,EMAP,30.6,25.6,0.6,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,031,ARPT. DEL CIBAO,SANTIAGO,ONAMET,EMCO,33.0,22.5,0.6,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,032,MATA LARGA (EMA),DUARTE,MINISTERIO DE AGRICULTURA,EMAP,32.8,23.3,0.6,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,033,PADRE LAS CASAS,AZUA,HOSP. NTRA. SRA. DEL CARMEN,EMCO,33.0,20.4,0.5,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,034,ARPT. GREGORIO LUPERÓN,PUERTO PLATA,ONAMET,EMCO,31.5,24.4,0.4,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,035,SAN FRANCISCO DE MACORÍS,DUARTE,San Francisco de Macorís (UASD),EMCO,32.7,23.2,0.4,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,036,ARPT. MARÍA MONTEZ,BARAHONA,ONAMET,EMCO,34.4,24.6,0.1,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,037,HATO MAYOR,HATO MAYOR,MINISTERIO DE AGRICULTURA,EMCV,,,0.1,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,038,VILLA VÁSQUEZ,MONTE CRISTI,PROPIEDAD DEL EMPLEADO,EMCO,35.5,21.5,0.1,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,039,ARPT. DE LA ROMANA,LA ROMANA,ONAMET,EMCO,32.0,23.2,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,040,ARPT. DE PUNTA CANA,LA ALTAGRACIA,ONAMET,EMCO,32.5,26.2,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,041,BAYAGUANA,MONTE PLATA,ONAMET,EMCO,32.8,24.0,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,042,BOCA DE MAO (EMA),VALVERDE,MINISTERIO DE AGRICULTURA,EMAP,36.1,25.1,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,043,CABRAL,BARAHONA,MINISTERIO DE AGRICULTURA,EMCV,35.3,25.2,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,044,CONSTANZA (EMA),LA VEGA,PROGRAMA MUNDIAL DE ALIMENTO,EMAP,26.4,18.7,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,045,DAJABÓN,DAJABÓN,INSTITUTO POLITÉCNICO LOYOLA,EMCO,32.0,20.3,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,046,EL FACTOR (EMA),MARÍA TRINIDAD SÁNCHEZ,INTEC,EMAP,32.9,23.9,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,047,HONDO VALLE,ELÍAS PIÑA,MINISTERIO DE AGRICULTURA,EMCO,27.6,18.7,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,048,JIMANÍ,INDEPENDENCIA,MINISTERIO DE AGRICULTURA,EMCO,36.8,26.0,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,049,LAS CANAS (EMA),MONTE CRISTI,PROGRAMA MUNDIAL DE ALIMENTO,EMAP,30.2,25.9,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,050,LOS TRES CHARCOS (EMA),PEDERNALES,PROPIEDAD DEL VOLUNTARIO,EMAP,31.5,25.9,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,051,MONCIÓN (EMA),SANTIAGO RODRÍGUEZ,PROGRAMA MUNDIAL DE ALIMENTO,EMAP,32.9,22.4,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,052,MONTE CRISTI,MONTE CRISTI,ONAMET,EMCO,35.5,24.8,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,053,PERALTA,AZUA,HOSP. MPAL. DE PERALTA,EMCO,34.9,18.7,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,054,PESCADERIA (EMA),BARAHONA,MINISTERIO DE AGRICULTURA,EMAP,35.0,27.6,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,055,PONTÓN ABAJO (EMA),LA VEGA,MINISTERIO DE AGRICULTURA,EMAP,32.6,24.5,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,056,SABANA GRANDE DE BOYÁ,MONTE PLATA,MINISTERIO DE AGRICULTURA,EMCV,,,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,057,SABANETA (EMA),SANTIAGO RODRÍGUEZ,PROGRAMA MUNDIAL DE ALIMENTO,EMAP,36.1,23.3,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-22,058,SAN JOSÉ DE OCOA,SAN JOSÉ DE OCOA,HOSP. SAN JOSÉ DE OCOA,EMCO,31.7,23.9,0.0,https://indomet.gob.do/wp-content/uploads/2024/08/Temperaturas-extremas-y-precipitaciones-22-de-julio-2024.pdf
2024-07-23,001,ARPT. LA ISABELA,SANTO DOMINGO,ONAMET,EMCO,33.5,24.0,35.4,https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x23-a.pdf
2024-07-23,002,SAN JOSÉ DE OCOA,SAN JOSÉ DE OCOA,HOSP. SAN JOSÉ DE OCOA,EMCO,32.5,22.3,20.0,https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x23-a.pdf
2024-07-23,003,RANCHO ARRIBA,SAN JOSÉ DE OCOA,CENTRO TECNOLÓGICO COMUNITARIO,EMCO,30.7,19.8,17.0,https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x23-a.pdf
2024-07-23,004,JARDÍN BOTÁNICO NACIONAL,DISTRITO NACIONAL,JARDÍN BOTÁNICO NACIONAL,EMCV,33.0,25.2,16.2,https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x23-a.pdf
2024-07-23,005,JUMA BEJUCAL,MONSEÑOR NOUEL,IDIAF,EMCV,32.8,25.2,15.1,https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x23-a.pdf
2024-07-23,006,VILLA ALTAGRACIA,SAN CRISTÓBAL,ESCUELA JAVIER ANGULO GURIDI,EMCO,33.1,24.1,10.3,https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x23-a.pdf
2024-07-23,007,BASE AÉREA DE SAN ISIDRO,SANTO DOMINGO,FUERZA AÉREA DOMINICANA,EMCV,33.5,23.5,10.0,https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x23-a.pdf
2024-07-23,008,SANTO DOMINGO ESTE,SANTO DOMINGO,ONAMET,EMCO,33.4,26.0,9.8,https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x23-a.pdf
2024-07-23,009,VALLE NUEVO (EMA),LA VEGA,MARENA,EMAO,18.7,11.8,9.8,https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x23-a.pdf
2024-07-23,010,LA VICTORIA,SANTO DOMINGO,CUERPO DE BOMBEROS,EMCO,33.8,24.0,8.2,https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x23-a.pdf
2024-07-23,011,ARPT. DEL CIBAO,SANTIAGO,ONAMET,EMCO,34.0,23.6,6.2,https://indomet.gob.do/wp-content/uploads/2024/08/temperaturas-extremas-y-precipitaciones-2024x07x23-a.pdf
